Sentence,Label
Postoji puno datuma koji su obilježili povijest televizije.,1
"Večer nakon gledanja dojmovi su mi bili puno bolji, ali kako Shyamalanovi filmovi znaju tjerati na razmišljanje, tako smo draga i ja posvetili puno vremena raspravljajući o ovom filmu, pa smo tako došli do zaključaka koje sam vam pokušao prenijeti kroz ovu recenziju.",1
"Čak ni stavljanje Harryja Stylesa, trenutno najpopularnije pop zvijezde na planetu, na filmski set nije pomoglo u popularnosti ovog filma.",2
"Citat s plakata Refnovog filma slobodno se može ukrasti i za ""Supstancu"" a koja ljepotu dovodi do monstruoznosti.",1
I to mi se jako svidjelo.,0
Jer Demi Moore je doista bila velika filmska zvijezda i za mnoge oličenje seksepila.,0
"Naoko beskonačne franšize pokrenute početkom stoljeća postale su već pomalo i predmetom sprdnje na internetskim proplancima, pa se tako ljudi redovno šale na bezbroj nastavaka serijala ""Brzi i žestoki"" čije smo deseto poglavlje nažalost gledali početkom ljeta u kinima.",2
"Najzaslužniji za to je izvorni tvorac franšize (kod nas prevedene kao ""Slagalica strave"") James Wan, čovjek koji će u povijest ostati upisan kao pokretač nekoliko megauspješnih horor serijala koji osim ""Saw"" uključuju i ""Conjuring"" te ""Insidious"".",0
"Ništa čudno, posebice ako ste upoznati s njegovim ranijim filmovima kao što su ""Svjetionik"", ""Sjevernjak"" i ""Vještica"".",1
"Villeneuve uspijeva jednako kvalitetno prikazati ogromne ratne sukobe, kao i jedan na jedan duele između likova.",0
"No, čak i kada glazba u potpunosti izostane, i kada kao podlogu imamo samo zvuk prirode kroz koji Pearl dugim kadrovima kreće u svoj pohod ludila, dojam je jednako uznemirujući i jeziv.",0
"Estetski je pogođeno razdoblje u kojem se nalazimo, posebice dvorac koji ima pravi gotički izgled za koji sam imao dojam kako će oživjeti i proganjati me u snovima.",0
On želi osigurati autorska prava za distribuciju Tetrisa na GameBoyu.,1
"Redatelj je naglasio kako detalji odrastanja glavnog protagonista, dječaka Finneyja imaju sličnosti s mladim redateljevim godinama.",1
"Iako traje gotovo 140 filma ""Supstanca"" niti jedne sekunde gubi na tempu, dinamici ili nedostatku ideja, već kako vrijeme prolazi je sve bolji i bolji.",0
"No, je li ovo slučaj u kojemu bismo trebali žaliti što izvrstan film nije dobio svoj zasluženi dio kolača u prvom vikendu prikazivanja.",1
"Sjajno mi je što i ovaj film sebe uopće ne shvaća ozbiljno, već on vizualno i stilski djeluje kao visokoestetizirana i sjajno snimljena parodija na trash filmove iz osamdesetih.",0
Ovo je Empire strikes back ili Dark Knight ili bilo koji drugi najbolji nastavak neke franšize.,0
"Čini se kao da svako toliko filmske kritike započinjemo sličnim uvodom, ali zbog potreba konteksta neke stvari valja ponavljati.",1
Svi vole seks.,1
"No, svatko tko je gledao film ""Call Me by Your Name"", posebice zadnjih desetak minuta, nije mogao ne primijetiti koliki se glumački potencijal krije u njemu.",0
Svakako nemojte gledati ovaj naslov praznog želuca!,1
"Da li su se moje slutnje ostvarile, o tome nešto više na kraju recenzije.",0
No za sve to trebala je postojati podloga.,1
Ljudi kakvi god bili.,1
Netko od njih je ubojica.,1
Na plus strani je zabavan nastup Sergija Castellitta u ulozi rigidnog kardinala Tedesca koji ni u konklavi ne prestaje pušiti vape.,0
No ono što je doista posebno  u ovoj priči jest Edgar Allan Poe.,1
"Shyamalan tako radi savršen kontrast između onoga što vidimo, i onoga što osjećamo.",2
"Prije dvije je godine objavljeno da se pretvaranja Harrisove knjige u film prihvatio austrijsko-švicarski redatelj Edward Berger (""Na Zapadu ništa novo"") te da će u njemu igrati Ralph Fiennes, John Lithgow, Stanley Tucci i Isabella Rossellini.",1
"Imam utisak da su se autorka i glumac fino zabavljali sa ovim, posebno kada Oliver spusti veo neuklopljenosti i učtivosti da bi otkrio nešto više slično njegovoj pravoj prirodi.",1
"Upravo je zbog toga i napisao roman ""Mesija Dine"", a kojeg Villeneuve također planira ekranizirati.",1
Postoji li ijedna priča o multiverzumu u kojem to nije prijetnja?,1
"Napet, iznadprosječno režiran i odglumljen, kao i vizualno zavodljiv, najnoviji Bergerov uradak bilo bi moguće objeručke preporučiti, samo da nije te jedne nesretne sitničice...",1
Fokus filma je zapravo na jednom događaju koji se odvija unutar Katoličke crkve na vrlo tajanstven način izbor novog pape.,0
"Film Meni (The Menu, 2022) nije mi baš pretjerano obećavao.",2
Nije za svakoga,1
"Kada su u pitanju mane filma, onda bih eventualno mogao izdvojiti ponavljanje po pitanju samih igrica, a što je, ruku na srce, teško i bilo izbjeći.",1
"Umjesto toga, tone u san, odnosno pomoć potražuje u modernoj tehnologiji koja je spremna na najlakši mogući način riješiti sve probleme te odvesti osobu ili osobe u virtualni svijet koji je identičan kao ovaj realan, osim što se u njemu živi savršeno.",1
Film koji većinom vremena funkcionira na vrlo uvjerljiv način i bavi se odnosima unutar crkvene zajednice pada u finalu filma.,1
"Svi elementi koji tu atmosferu grade, od Ubojičinih unutarnjih monologa i brutalnog nasilja do opresivne drone glazbe i brojnih noćnih scena, kao da čine različite slojeve koji ne liježu skladno u cjelinu koja bi se izdigla iznad pojedinačnih elemenata.",2
Postoji barem tri ili četiri scene koje ću pamtiti zauvijek.,0
Opsjednutost mladosti u stvarnom životu očituje se u botoksu i raznim estetskim operacijama i tretmanima koji za cilj imaju spriječiti taj prirodan i posve normalan proces.,1
"Strah od starenja, usamljenost, osjećaj prolaznosti i nebitnosti univerzalni su dio svakog ljudskog postojanja.",1
Ona propituje sam smisao života i svrhu svog postojanja.,1
"Michelle Yeoh donosi potrebnu dubinu u cijelu radnju uz asistenciju Quana, Lee Curtis, Hsu i drugih glumaca koji se idealno uklapaju u bizarnost cijelog fabularnog koncepta.",1
"U ""The Menu"" imamo određene situacije u kojima gledamo ljude koje se kažnjava isključivo iz razloga što imaju mnogo novca.",1
"No, ako me pitate da li ga se isplati pogledati u kinu, unatoč svim manama, moj odgovor bi ipak bio potvrdan.",0
Dvije različite slike u jednom kadru odmah nas tjera na pitanja za koja nismo sigurni da li uopće želimo znati odgovore.,0
"Vrlo je lako prema njoj razviti simpatiju, i to prvenstveno zahvaljujući njenoj osobnosti.",0
Ona će omogućiti bolje uvjete u tvrtki za koju radi.,1
Postoje trenuci kada nasilje stvara nasilje jer drugačije se ne može (pre)živjeti.,1
"Naime, prvi put smo dobili negativca koji je dostojan suprotstaviti se Jigsawu.",0
"Haywood, sin rančera koji na holivudskim setovima vodi brigu u konjima.",1
To svakako treba pozdraviti jer unosi svježinu u žanr uz koji se već desetljećima veže pojam horror fatigue.,0
"Tu priču smo gledali mali milijun puta, i zato mi je baš drago što Peele nije upao u tu zamku.",0
"Njihov dolazak na farmu znači da je samo pitanje vremena kada će ubistva početi i dok mi to znamo, ovi likovi nemaju blage veze.",1
Riječ je o filmu koji nije za svakoga.,1
"Naime, dok sam gledao sve te scene, osjećao sam poprilično gađanje, što je zapravo pravi paradoks jer sve ono što u tim trenucim gledamo zapravo je dio nas, i događa se svakodnevno.",1
Aisling nam da glumu koja ide ruku pod ruku s McAvoyjevom.,0
"Nezadovoljna je svojim obiteljskim poslom, odnosno praonicom rublja koju vodi s mužem.",1
"Iako bismo vrlo lako mogli skrenuti u ulicu gdje ćemo to pripisati kao posljedicu tragične smrti njenog supruga, redatelj nas korištenjem pametnih flashbackova uvjerava kako je taj vulkan terora davno bio iznad nje, spreman da eruptira svakog trenutka.",1
"Ono što je najzanimljivije u cijelom eksperimentu ipak je činjenica da je ""Saw X"" mnogo smisleniji i bolji film od gotovo svih koji su mu prethodili, izuzevši izvorišni film koji je postavio temelje i donio određene spomenute inovacije u kinematografiju žanra strave i užasa.",0
Dublje od očekivanog.,0
