Added from Cro-FiReDa,Sentence,Label,,,
0,rečenica koja je „vrištala“ s plakata originalnog filma doslovno se može osjetiti i u najavi za „romulus“.,1,,,
0,"nadu u optimizam nudi i suradnja koju je alvarez imao s ridleyjem scottom kao producentom filma, dok mu je james cameron dao i neke jako korisne savjete kada je u pitanju scenarij.",0,,,
0,zato i ne čudi što „vrisak koji se ne čuje“ postaje snažniji dok nas kamera vodi kroz tamom okupane hodnike ovog uistinu napetog teasera.,0,,,
0,"čini mi se kako se alvarez želio vratiti staroj školi horora, a uz sve to povezati elemente trilera koji je krasio nastavak, a posebice treći, za mene nedovoljno hvaljeni fincherov „alien 3“.",0,,,
0,"ako još tome dodamo moderni redateljski potpis kojeg alvarez neosporno ima, možemo se samo nadati kako ćemo na kraju dobiti kombinaciju koja će nas natjerati na vrisak straha u kino dvorani.",0,,,
0,"izvorni filmovi serija “alien” poslužili su kao odskočna daska u karijerama raznih generacija redatelja, od originalnog autora i “čuvara” franšize, dugovječnog ridleyja scotta, preko megauspješnoga jamesa camerona pa do povremeno genijalnog davida finchera.",0,,,
0,"tom popisu moglo se pridružiti i ime južnoafričkog vizionara neilla blomkampa (“district 9”), koji je već bio pripremio nacrte i ideje za peti unos u serijal, no od toga se odustalo, a meandrirajući ridley scott ponovno je uzde uzeo u svoje ruke i snimio dva prednastavka koja su naširoko dočekana na nož kod kritike i publike, pa je od “alien: covenant” ponovno trebalo proći sedam godina do sljedećeg pokušaja reboota franšize.",1,,,
0,"zadatak je ovaj put predan u ruke urugvajskom redatelju fedeu álvarezu, autoru koji se proslavio vlastitim uratkom “don’t breathe” i (kao scenarist) njegovim manje sjajnim nastavkom, ali je osim toga postao i ključni rebooter nekad slavnih serijala.",1,,,
0,"bez mnogo okolišanja, možemo reći da mu je uspjelo.",0,,,
0,"za razliku od scottovih prednastavaka, fede pred sobom ima vrlo jednostavan i pravocrtan sinopsis koji se vjerojatno može ispričati u jednoj rečenici.",1,,,
0,rudarica rain (cailee spaeny iz “priscille” i “civil war“) i njezin brother figure sintetički drug andy (david jonsson) pridružuju se njezinim prijateljima koji imaju plan iz napuštene svemirske stanice otuđiti krioničke kapsule i pobjeći na obližnji planet.,1,,,
0,ono što ne znaju jest to da postaja krije neželjeno društvo ksenomorfa koji će dati sve od sebe da osujete njihovo putovanje u bolji život.,1,,,
0,"kao tako mnogo filmova, i “alien: romulus” služi kao tzv. legacy sequel izvornika, film koji može funkcionirati samostalno, ali je cijelim nizom detalja (nebitnih za praćenje radnje) vezan za svijet prethodnih filmova.",1,,,
0,"u slučaju “romulusa”, radnja se odvija između prvih dvaju kultnih poglavlja sf/horor sage, scottovog hermetičkog svemirskog slashera i cameronovog akcijskog spektakla, te álvarezov film svjesno ističe elemente oba navedena.",1,,,
0,pogotovo je vezan na originalni film iz 1979. s obrzirom na činjenicu da se gotovo cijela radnja odvija u naslovnome brodu.,1,,,
0,"ovdje treba pohvaliti određene tehničke aspekte filma, od briljantne scenografije naaman marshalla čiji brodovi i strojevi djeluju nevjerojatno realistično, do vješte montaže jakea robertsa.",0,,,
0,sjajno je kako álvarez tehnologiju daleke budućnosti nastavlja prikazivati s istim onim ograničenjima koja je scott imao prije 45 godina i kako fenomenalno koristi praktične efekte u doba kad loš cgi postaje pretežak teret tolikim drugim filmovima.,0,,,
0,iznimka tome je jedan loše kompjuterski generirani lik koji služi kao poveznica s izvornikom i toliko odudara od ostatka filma da se možemo s pravom pitati kome je uopće i zašto trebao.,2,,,
0,"spomenimo i to da u završnici álvarez prethodno postojeće body horror elemente podiže na sasvim novu razini stvaranjem jednog posebno odvratnog hibridnog čudovišta, no većina filma zapravo se svodi na dobro režirane jurnjave uskim hodnicima svemirske postaje s mnogo sluzi, kiseline i ružnih osmjeha ksenomorfa koji zajedno čine sasvim zadovoljavajući novi izlet u jedan od omiljenih znanstevno-fantastičnih svjetova iz zadnje polovice stoljeća.",0,,,
0,za to su djelomično zaslužni i speany i jonsson koji svojim izvedbama unose dovoljno života da za njihove likove iskreno i navijamo.,0,,,
0,ovako po prvi put nakon nekoliko desetljeća možemo iskreno poželjeti i potencijalni nastavak.,0,,,
0,premda bismo vjerojatno ipak najradije vidjeli što bi snimio neill blomkamp.,1,,,
0,"želio bih pozvati sve koji su iznenađeni kada čuju da su redatelj fede álvarez i alien spoj napravljen u svemirskom paklu da prestanu čitati ovo i pogledaju njegov remake evil dead iz 2013. (ali, kao, da se vrate poslije.)",0,,,
0,"bio je to prvi puta u 20 godina da je otvoren necronomicon, a obožavatelji horora pripisali su opstanak omiljene franšize naporima mladog redatelja.",1,,,
0,"ta je vjera nagrađena jednim od najučinkovitijih remakeova horora ikada, a ta sposobnost da se poštuje i modernizira sveti tekst žanra najočitije je objašnjenje uspjeha filma alien: romulus.",0,,,
0,"poput klinca u frojdovskoj noćnoj mori trgovine slatkišima, álvarez se sprema na gozbu vanzemaljske ikonografije i kriptozoologije s krajnjim veseljem, čak i posebno u scenama haosa od kojeg mu drobe kosti.",0,,,
0,"alien: romulus destilira franšizu u njen najfunkcionalniji, fokusirani oblik.",0,,,
0,"i kad jednom počne kuhati, ne posustaje.",0,,,
0,"odozgo prema dolje, alien: romulus prikazuje uzoran produkcijski dizajn koji, iako nagovještava ono što dolazi u alienima postavljenim u budućnost, mnogo više duguje totemskim teksturama originalnog filma ridleya scotta.",0,,,
0,"industrijski futurizam originalnih scenografija michaela seymoura sjajno je repliciran u neispravnoj stanici renaissance, obojenoj crvenim svjetlima upozorenja i vretenastim crnim bojama ksenomorfologije h. r. gigera dok se utkaju u tu estetiku prijeteći kao i uvijek.",0,,,
0,"alien: romulus također predstavlja nedvojbeno najkohezivniju mješavinu računalno generiranih i praktičnih tehnika korištenih za oživljavanje lokacija, stvorenja i učinaka ozljeda u franšizi.",0,,,
0,"izreka kaže da je najbolji cg onaj koji ne primjećujete, a ovdje je tim postigao uglavnom besprijekoran spoj svih tih elemenata.",0,,,
0,ironija je u tome što moram odmah proturječiti samom sebi: postoji nekoliko trenutaka – posebno u trećem činu – u kojima možete jasno zaključiti da álvarez snima krupni plan lažnih glava ksenomorfa koje raznosi.,2,,,
0,"no ti trenuci, ili vremena kada možete pratiti korištenje minijature, jednako dobro dočaravaju prva dva filma franšize kao i bilo koji ikonični film ili rekreirani snimak.",0,,,
0,"álvarez stvarno pušta romulusa da diše kroz svoj prvi čin, uzimajući vremena da uspostavi središnji odnos između rain (cailee spaeny) i androida andyja (daniel jonsson), koji žive kao braća i sestre u ropstvu u weyland-yutanijevoj koloniji jackson’s star.",0,,,
0,"u očajničkoj želji da napuste tamu kolonije koja je vječno lišena sunca – koju álvarez prikazuje kao metalni pakleni krajolik koji priliči terminatoru – rain i andy ponovno se povezuju sa svojim starim prijateljima čistačima, posadom corbelana iv.",1,,,
0,"rainova snalažljiva priroda i zaštitnički odnos prema njezinom sintetičkom bratu i sestri brzo pridobiju publiku na njezinu stranu, a kao izvođač, spaeny radi sjajan posao uvjerljivo prizemljujući rain u užas iz trenutka u trenutak mlade odrasle osobe koja prvi put upada u veliki, zastrašujući svijet i otkrili da je gori nego što su mogli zamisliti.",0,,,
0,"jonsson završava s najzahtjevnijim hodanjem po užetu u svojoj izvedbi, neprestano balansirajući djetinjasto oklijevanje s hladnom učinkovitošću, uspoređujući koje bi informacije trebao ponuditi i koje bi od svojih osnovnih smjernica trebao slijediti.",1,,,
0,ali jonsson dobro drži srž andyja nakon što taj sukob postane središnji dio zapleta.,0,,,
0,"popratne nepredvidive promjene u andyjevoj osobnosti ne služe samo za podizanje napetosti, već i kao ogledalo u kojem se ljudski likovi vide kao odraz.",0,,,
0,"što se tiče posade corbelana – parova braće i sestara tyler (archie renaux) i kay (isabela merced), te bjorn (spike fearn) i navarro (aileen wu) – álvarez i sayagues koriste arhetipove koji će obožavateljima aliena odmah postati poznati.",1,,,
0,"tylerova čelična suzdržanost evocira dallasa, bjornova oštrica i bandana pozivaju i alienovog parkera i aliensovog vasqueza… shvaćate.",1,,,
0,"dok brojni filmovi u franšizi koketiraju s slasher konvencijama, alien: romulus se više nego ikad prije posvećuje suštinskoj strukturi podžanra.",1,,,
0,"kao takvo, mudro je ne vezati se za bilo koga tko govori uglavnom u šalama ili ekspozicijama.",1,,,
0,"ta struktura povremeno dopušta publici da napreduje u zapletu, ali álvarez baca dovoljno krivuda i krivo usmjerava da to neutralizira.",0,,,
0,"álvarez ekonomično uspostavlja ansambl, posebno tijekom corbelanova putovanja do renesanse, gdje rezovi svakog lika otkrivaju kako reagiraju u stresnim situacijama, osnažujući te arhetipove neposredno prije nego što kiselina udari u ventilator.",0,,,
0,"ali usredotočimo se najprije na ono što funkcionira, i to dobro: álvarez točno razumije kako i kada primijeniti alienove najikonskije slike.",0,,,
0,"iako je početno istraživanje napuštene renesanse smetlara tiha, napeta stvar, odmah ispod površine, možete osjetiti álvarezovu ruku kako uspostavlja prostor poput djeteta koje bez daha pokazuje sve svoje igračke prije nego što se odluči s kojom želi podijeliti ti prvi.",0,,,
0,"sustavi kanala, zračne komore, palice za omamljivanje, senzori pokreta, mrtva sintetika, možda tu i tamo čudna promjena od plamena do bacača smrzavanja.",1,,,
0,ali álvarez ne troši previše vremena na fetišiziranje ovih neživih predmeta; oni su čisto funkcionalni i stoga se nemojte osjećati kao da prelaze granicu usluge obožavatelja radi usluge obožavatelja.,0,,,
0,romulus čak nalazi prostora – zapravo dosta – za ugradnju elemenata creative assembly-ove izvrsne alien: isolation game.,0,,,
0,"bilo da se radi o registracijskim točkama koje postavlja álvarez (trenuci koji završe kao đavolski pametno kimanje kumu) ili bakljama koje se navikavaju na pametne praktične i obrambene ciljeve, to je simbol stava da je svaki alien dobar alien, etosa koji pokreće cijeli ovaj film naprijed i otključava njegove najšokantnije narativne zaokrete.",0,,,
0,"naravno, romulus donosi i svoje nove igračke i trikove, od kojih je najznačajnija nulta gravitacija.",1,,,
0,"plešem oko detalja radi spojlera, ali nikad nisam bio sigurniji da ćete točno znati na što mislim. ",1,,,
0,što nešto govori… ovo je ipak film o genetski savršenim vanzemaljcima ubojicama.,1,,,
0,"ljubitelji znanstvene fantastike diljem svijeta s velikim iščekivanjem čekali su novi nastavak legendarne “alien” franšize, a sada je napokon stigao: “alien: romulus”.",0,,,
0,"redatelj fede álvarez donosi novi, svježi pristup klasičnoj priči o preživljavanju i borbi protiv opasnih vanzemaljaca, što je fanove dodatno uzbudilo.",0,,,
0,"fede álvarez poznat je po svojoj vještini stvaranja napetosti i tjeskobe, a “alien: romulus” savršeno pokazuje njegovu sposobnost da izgradi zastrašujuću atmosferu.",0,,,
0,"vraćajući se klasičnim praktičnim efektima i mračnim tonovima originalnih “alien” filmova, stvorio je svijet koji je istovremeno prekrasan i užasavajući.",0,,,
0,"neki su kritičari već rekli da ovaj film vraća sjaj žanru, stvarajući kombinaciju starog i novog koja će zadovoljiti kako stare fanove, tako i novu generaciju gledatelja.",0,,,
0,jedna od najupečatljivijih karakteristika “alien: romulus” su snažni nastupi glumačke postave.,0,,,
0,"likovi su slojeviti, s osobnim pričama koje dodaju emocionalnu težinu radnji, zbog čega publika još dublje suosjeća s njima.",0,,,
0,ono što “alien: romulus” čini posebnim jest povratak korijenima franšize – hororu.,0,,,
0,"akcija je napeta, brutalna, a borba za opstanak vraća nas u osjećaj tjeskobe koji je “alien” franšizu učinio tako popularnom.",0,,,
0,"kritičari već hvale film zbog njegove sposobnosti da stalno drži gledatelja na rubu sjedala, s neočekivanim obratima i scenama koje izazivaju hladan znoj.",0,,,
0,"“alien: romulus” nije samo nastavak dugogodišnje franšize, već i osvježenje u svijetu znanstvene fantastike.",0,,,
0,"uz mračnu atmosferu, napetu akciju i slojevite likove, ovaj film može stati rame uz rame s najboljim sf ostvarenjima 2024. godine.",0,,,
0,"ako ste fanovi originalne priče ili jednostavno tražite filmski doživljaj koji će vas uvući u svijet prepun opasnosti i neizvjesnosti, “alien: romulus” je film koji ne smijete propustiti.",0,,,
0,alien: romulus je jedan veliki hommage ostalim alien filmovima.,0,,,
0,"pogotovo prvom, zbog atmosfere, muzike i cijele izoliranosti koju nam je on pružio.",0,,,
0,"utjecaj ostalih filmova je također vidljiv, ali uz njih, ovdje je i alien: isolation, igra koja je najbolje opisala cijelu situaciju izolacije.",0,,,
0,ovaj film će uzeti trope koje već postoje iz starijih alien filmova i napraviti ih svojima u obliku savršenog organizma.,0,,,
0,"ili će barem pokušati to napraviti dok nas vodi kroz priču viđenu već prije, ali na svoj način izmiksanu i utemeljenu dok radi nešto novo.",1,,,
0,priča je poprilično jednostavna.,1,,,
0,grupa ljudi pokušava promijeniti svoju sudbinu tako da posjete napuštenu svemirsku postaju.,1,,,
0,ali ne bi to bio alien film bez našeg standardnog xenomorpha.,1,,,
0,"apsolutno sve što romulus prikaže od xenomorpha je tako skriveno na početku i u pozadini, stoga sve što vidimo od njega je ili kratko ili zamagljeno što je izvrsno postignuto.",0,,,
0,"također, ono što ovaj film odrađuje vrhunski su utjecaj gravitacije i hladnoće na prostor i ljude.",0,,,
0,još nismo doživjeli to u tolikoj mjeri u alien filmu.,1,,,
0,u prvih pola sata filma vidimo da će ovo igrati veliku ulogu kasnije.,1,,,
0,"jedna scena odskače od drugih u tom pogledu, a to je taman prije poslednje trećine filma, kada rain (cailee spaeny) iskoristi svoju inteligenciju da postigne fascinantne rezultate.",0,,,
0,"možda se čini malo nevjerojatnim, ali smatram da je scena zbilja fenomenalno odrađena.",0,,,
0,"što se glumaca tiče, rain i andy (david jonsson) imaju odličnu dinamiku.",0,,,
0,u svakom trenutku kada su skupa se vidi njena zabrinutost za njega (makar je android) iz razloga što je on njezin “brat”.,1,,,
0,"ne želim ulaziti previše u detalje, ali razlozi imaju svoje temelje i čvrsto stoje.",1,,,
0,ona je više ta starija sestra koja je sidro cijelog odnosa.,1,,,
0,"drugi likovi uključuju tylera (archie renaux) koji je vođa cijele grupe, njegova sestra kay (isabela merced), bjorn (spike fearn), njihov rođak, te navarro (aileen wu) koja je bjornova posvojena sestra.",1,,,
0,tako se samo čini.,1,,,
0,"uz to što je tyler bivši dečko od rain, on tako donosi određen autoritet u grupu, te ga ekipa ponekad i nevoljno sluša.",1,,,
0,"kao što sam naveo, loše odluke likova će biti ono što će presuditi u kojem će smjeru priča otići.",1,,,
0,"svi likovi imaju svoje želje, svoje naravi i emocije, pa će tako i izreagirati na situacije u kojima se nađu.",1,,,
0,"ponekad ljudi ne razmišljaju glavom već emocijama, što se oslika u filmu vrlo dobro.",0,,,
0,"također, ovdje se pojavi jedan dobar stari lik, ovoga puta zvan rook (ian holm).",0,,,
0,"rook je android koji je povezan s brodom, ali je oštećen do mjere nepopravljivosti.",1,,,
0,on je ovdje da bi pomogao i pomoći će koliko mu je to u moći.,1,,,
0,samo je pitanje kome?,1,,,
0,"pojava rooka u filmu je bila neočekivana, te je iskreno cgi za njega jako loš.",2,,,
0,ostali cgi koji se pojavljuje u filmu je vrlo dobar.,0,,,
0,"zbog tame, cgi može blistati u ovakvoj vrsti filma.",0,,,
0,pogotovo u kombinaciji s praktičnim efektima koji još jednom nose film.,0,,,
0,"xenomorphi izgledaju savršeno, zbilja odaju počast prvom filmu s ovime.",0,,,
0,"uz praktične efekte i cgi, zvučni dizajn je također nešto s čime film može biti ponosan.",0,,,
0,"različiti zvukovi i muzika pojačaju scene i kadrove gdje se nađu, što je veća istina u vezi horor filmova poput aliena.",1,,,
0,manjak zvuka također igra veliku ulogu u filmu zbog raznih scena u kojima ne bi smjelo biti zvuka.,1,,,
0,uzmite u obzir da je radnja ipak u svemiru.,1,,,
0,"također, ako niste znali, xenoi, a u filmu specifično facehuggeri, percipiraju svijet pomoću topline i zvuka.",1,,,
0,"tako da ako se mislite šuljati, tišina će vam biti prijatelj.",1,,,
0,"fede alvarez je napisao i režirao ovaj film, te mu je ovo prvi alien na kojemu je radio.",1,,,
0,izgleda da je dobro proučio materijal koji se našao ispred njega jer svako malo se pojavi nekakav suptilan ili ne toliko suptilan hommage u obliku zvuka ili ponovno iskorištenog dijaloga.,0,,,
0,također se vidi utjecaj evil dead na kojemu je radio 11 godina prije.,1,,,
0,"sve od mračnijih aspekata filma do muzike koja je u filmu, te mu je ovo definitivno najbolji film koji je napravio do sada.",0,,,
0,"pričajmo malo o slonu u sobi, a to je zadnja trećina filma.",1,,,
0,"iz nekog razloga, jako velika većina filmova ove godine pati od toga kako završiti film.",2,,,
0,kao da ih nemamo dovoljno.,2,,,
0,"rekavši to, sam kraj ima stvorenje koje liči na engineera što postavlja neka druga pitanja za cijelu franšizu.",1,,,
0,samim time daje počast resurecctionu i njegovoj premisi dok stvara nešto svoje.,0,,,
0,nešto malo i o filmovima koji su došli prije romulusa i koji su mu bili uzor.,1,,,
0,prometej i covenant su jako napredni u tehnologiji.,1,,,
0,"sve je nekako bijelo i svijetlo, dok stariji filmovi i romulus se vraćaju tom nekom sf-u 80tih.",1,,,
0,"prva četri filma su definitivno najviše utjecala na vizualni aspekt romulusa, te mu omogućili da nastane u ovom obliku koji će definitivno najviše obradovati stare fanove.",0,,,
0,"uz razne posvete ostalim alien filmovima, romulus je dašak svježeg zraka koji je bio potreban ovoj franšizi.",0,,,
0,"fede alvarez je bio vrlo dobar odabir za ovaj film, te se vidi da se posvetio ovom filmu kao da je njegovo savršeno stvorenje.",0,,,
0,"godine 2012. daniel katz, david fenkel i john hodges osnovali su u new yorku filmsku kompaniju a24.",1,,,
0,vizija osnivača kompanije bila je prilično hrabra s obzirom na navike kino gledatelja.,1,,,
0,"nezavisna filmska kompanija a24 programirana je za niskobudžetne projekte koji su, većinom, drugačiji od blockbusterske kino ponude.",1,,,
0,"dobro osmišljenim reklamnim kampanjama kao i otvorenošću za drugačije projekte, a24 već je u prvim godinama privukao zvučna redateljska imena (sofia coppola, steven knight, denis villeneuve….) i pokazao kako katz, fenkel i hodges misle ozbiljno.",0,,,
0,kako su godine prolazile tako je i a24 postao sve važniji i utjecajniji filmski igrač (ogroman je broj nagrada koje su filmovi snimljeni pod etiketom spomenute filmske kompanije osvojili – a24 je počeo ostvarivati i respektabilne komercijalne rezultate na svjetskim kino blagajnama).,0,,,
0,"godine 2014. britanski filmaš alex garland snimio je izvrsni redateljski prvijenac upravo za a24 – znanstveno-fantastična drama ex machina potvrdila je garlanda kao vrlo zanimljivog filmaša (prethodno je garland napisao scenarije za filmove “28 dana kasnije”, “sunce”, “dredd.",0,,,
0,“građanski rat” stigao je u svjetske kino dvorane.,1,,,
0,radnja filma vodi nas u blisku budućnost – teritorij sad-a poprište je krvavog građanskog rata.,1,,,
0,"predsjednik je, između ostalog, ukinuo fbi i upotrijebio vojno zrakoplovstvo u kojem su stradali civili.",1,,,
0,floridski savez odnosno zapadne snage teksasa i kalifornije osnovale su vladu i otkazale poslušnost washingtonu – njihove postrojbe približavaju se glavnom gradu – glavni je cilj eliminirati predsjednika.,1,,,
0,"u new yorku se iskusna novinarka, fotoreporterka lee i kolega joel spremaju na put u washington.",1,,,
0,cilj je razgovarati s predsjednikom i snimiti stanje na terenu.,1,,,
0,"joel i lee kreću na put, ali ne sami – dio njihove ekipe postaje novinarski veteran sammy (njegova je namjera postaviti predsjedniku nekoliko pitanja) i mlada neiskusna jessie.",1,,,
0,"“građanski rat” kombinacija je ratne drame, filma ceste uz dodatak (ratne) akcije.",1,,,
0,"bez obzira na papreno žestoku tematiku, redatelj garland puno je pažnje posvetio vizualnom izričaju koji, između ostalog, bolno i stravično uvjerljivo prikazuje ratna stradanja.",1,,,
0,"uvodne minute prikazuju teroristički napad na civile – novinarske fotografije i kamera svjedoci su masakra, ali i uvod u ono što gledatelja očekuje tijekom čitavog filma.",1,,,
0,vizualnost je znak raspoznavanja filmova alexa garlanda – “građanski rat” nije iznimka.,1,,,
0,tijekom filma slika (fotografija) govori više od riječi – ne samo kada je riječ o prikazu ratnih zbivanja već u prikazu duševnog stanja glavnih protagonista odnosno psihičkom pucanju iskusnih novinara koji su (pre)živjeli ratne događaje i svjedoče brutalnom nasilju.,1,,,
0,putovanje dugo oko 1400 kilometara zapravo je prikaz države rastrgane i masakrirane građanskim ratom.,1,,,
0,redatelja ne zanimaju uzroci (uzroci su zapravo aktualni odnosno mogu se pronaći u današnjem zapaljivo podijeljenom američkom društvu) već posljedice.,1,,,
0,"u redu, tijekom filma se spominju grijesi američkog predsjednika i opaska jednog od protagonista kako će završiti kao gadafi i ceausescu, ali to je sve – garland ne zauzima stranu, nije ideološki motiviran već prikazuje rat u kojem nema milosti.",1,,,
0,"za zarobljene, ali često i za civile.",1,,,
0,amerika je eksplodirala i stvari su izmakle kontroli… poput scena iz serije “živi mrtvaci” na cestama kojima novinarska četvorka putuje u washington razbacani su leševi.,1,,,
0,"tijekom putovanja u washington novinarska se četvorka susreće s različitim likovima – naoružani civili koji čuvaju benzinsku postaju, pripadnici vojske, razni lokalni luđaci i paravojne postrojbe koje nitko ne kontrolira.",1,,,
0,"postoje i mjesta čiji se stanovnici ne žele uplitati u sukob, ali i takve su lokacije pod zaštitom.",1,,,
0,"vlada nestašica vode, scena na benzinskoj postaji sugerira kako je američki dolar postao gotovo bezvrijedna valuta, ali ono čega ne nedostaje u niti jednom trenutku je oružje svih vrsta i kalibara.",1,,,
0,garland je novi građanski rat u sad-u prikazao iz kuta novinara odnosno fotografa.,1,,,
0,"oni su, povijest ratovanja je pokazala, prvi svjedoci ratnih stradanja i oni koji na licu mjesta razotkrivaju ratna stradanja.",1,,,
0,"odabrana četvorka je lice novinara, spremni su riskirati sve u potrazi za istinom (ili dobrom pričom) ali postoji i naličje koje je garland dotaknuo tijekom emitiranja ratobornih predsjednikovih govora.",1,,,
0,"prikaz ratnih stradanja u filmu alexa garlanda iznimno je realističan, brutalan i nemilosrdan.",1,,,
0,"žestina kojom garland suočava gledatelja s ratom i njegovim posljedicama rijetko se može vidjeti – milosti nema prema protagonistima filma, ali i gledatelj je suočen s brutalnim posljedicama ratnih sukoba.",1,,,
0,najjezivija scena filma ipak se ne događa na prvoj crti već tijekom puta kada su glavni protagonisti suočeni s lokalnom (para)vojnom formacijom koju predvodi zapovjednik (briljantna izvedba jessea plemonsa).,0,,,
0,ono što slijedi rijetko se može vidjeti u ponudi kino filmova snimljenih u sad-u.,0,,,
0,"uz spomenutu, briljantno jezivu epizodu jessea plemonsa u vrlo dobrom izdanju su wagner moura, kirsten dunst te cailee spaeny.",0,,,
0,"oni, svaki na svoj način, interpretiraju protagoniste koji su, svaki na svoj način, iako ne nose oružje, sudjeluju i stradaju u sukobu.",1,,,
0,"slojevitost, brutalnost, ali i aktualnost (uz nadu kako nije riječ o proročanskom filmu koji predviđa budućnost) “građanskog rata” nije jednostavno opisati u tek jednoj rečenici.",0,,,
0,"novi film redatelja alexa garlanda subverzivan je, uznemirujući i provokativan film koji prikazuje najmračnije moguće posljedice trenutnog stanja u američkom društvu.",0,,,
0,"za sve koji (površno) tvrde kako se recentna filmska ponuda sastoji isključivo od nastavaka, remakeova i superjunaka, “građanski rat” je izazov.",0,,,
0,izazov gledanja filma koji je već sada osigurao mjesto među najboljim naslovima 2024. godine.,0,,,
