Sentence,Label,MovieID,Review ID,SentID,FilmID,ReviewID,SentenceID
"Vrlo je lako prema njoj razviti simpatiju, i to prvenstveno zahvaljujući njenoj osobnosti.",0,,,,,,
Ona će omogućiti bolje uvjete u tvrtki za koju radi.,1,,,,,,
Postoje trenuci kada nasilje stvara nasilje jer drugačije se ne može (pre)živjeti.,1,,,,,,
"Naime, prvi put smo dobili negativca koji je dostojan suprotstaviti se Jigsawu.",0,,,,,,
"Haywood, sin rančera koji na holivudskim setovima vodi brigu u konjima.",1,,,,,,
To svakako treba pozdraviti jer unosi svježinu u žanr uz koji se već desetljećima veže pojam horror fatigue.,0,,,,,,
"Tu priču smo gledali mali milijun puta, i zato mi je baš drago što Peele nije upao u tu zamku.",0,,,,,,
"Njihov dolazak na farmu znači da je samo pitanje vremena kada će ubistva početi i dok mi to znamo, ovi likovi nemaju blage veze.",1,,,,,,
Riječ je o filmu koji nije za svakoga.,1,,,,,,
"Naime, dok sam gledao sve te scene, osjećao sam poprilično gađanje, što je zapravo pravi paradoks jer sve ono što u tim trenucim gledamo zapravo je dio nas, i događa se svakodnevno.",1,,,,,,
Aisling nam da glumu koja ide ruku pod ruku s McAvoyjevom.,0,,,,,,
"Nezadovoljna je svojim obiteljskim poslom, odnosno praonicom rublja koju vodi s mužem.",1,,,,,,
"Iako bismo vrlo lako mogli skrenuti u ulicu gdje ćemo to pripisati kao posljedicu tragične smrti njenog supruga, redatelj nas korištenjem pametnih flashbackova uvjerava kako je taj vulkan terora davno bio iznad nje, spreman da eruptira svakog trenutka.",1,,,,,,
"Ono što je najzanimljivije u cijelom eksperimentu ipak je činjenica da je “Saw X” mnogo smisleniji i bolji film od gotovo svih koji su mu prethodili, izuzevši izvorišni film koji je postavio temelje i donio određene spomenute inovacije u kinematografiju žanra strave i užasa.",0,,,,,,
Dublje od očekivanog.,0,,,,,,
“Zla kob” i “Izbavi nas od zla” bili su predigra za najkomercijalniji projekt u redateljevoj karijeri – “Dr. Strange” je ostvario vrlo dobre rezultate na kino blagajnama i očekivalo se kako će Derrickson potpisati i nastavak (posebno zbog najava kako će Multiverzum ludila imati najviše horor elemenata od dosadašnjih “Marvel” projekata.,1,,,,,,
"Ovaj potonji pogotovo, posebice zbog glavne protagonistice u izvedbi Anye Taylor Joy koja u samom klimaksu komunicira s vragom, odgovarajući mu potvrdno na sva pitanja te se tako oslobađa od vjerske i seksualne represije 17. stoljeća u Novoj Engleskoj.",1,,,,,,
"Poirot je suočen s izazovom pojave paranormalnih, natprirodnih pojava.",1,,,,,,
No njena zvijezda je tijekom godina izgubila sjaj.,2,,,,,,
Apsolutna uloga života mladog Chalameta koji ima svijetlu Hollywoodsku budućnost ispred sebe.,0,,,,,,
"Također, nju ne zanimaju njegovi motivi ili pozadinska priča, čime izbjegava romantiziranje lika, već je više usredotočena na jasnu osudu protiv mizoginije, rodne nejednakosti, seksualnog omalovažavanja i objektiviziranja žena, a što je duboko ukorijenjeno u suvremenom društvu, počevši od običnih radnih mjesta pa sve do blještavila Hollywooda.",0,,,,,,
"Već na samom početku bjelodano je što gledatelji mogu očekivati: 19. stoljeće, nemilosrdno maglovito ozračje, ostarjela detektiva, te tajanstveno ubojstvo mladog kadeta.",1,,,,,,
"Naime, baš kako sam naglasio, istina jest kako snažna karakterizacija likova utječe na cjelokupni pozitivni dojam, posebno kada su pitanju likovi koje su portretirali James McAvoy (Paddy) i McKenzie Davis (Louise).",0,,,,,,
"Svakako u gornji dom – ne pripada u red njegovih najboljih ostvarenja, ali čvrsto drži mjesto u drugoj kategoriji njegovih filmova.",0,,,,,,
"Također, popularni film Don’t Look Up ima poveznice s novim Peeleovim filmom.",1,,,,,,
"Od erotike, seksualnosti, pa sve do rađanja pornografije.",1,,,,,,
Taj balans između nove i stare verzije mora se pod svaku cijenu poštivati.,1,,,,,,
Jedina osoba koja se ne uklapa u priču je Margot (Anya Taylor-Joy) koja je na večeru pozvana iz koristi.,1,,,,,,
Ostaje na gledatelju da sam procijeni.,1,,,,,,
"Više od toga, redatelj pažnju posvećuje različitim reakcijama različitih generacija na taj proces.",0,,,,,,
"Vrlo lako je redatelj od njegovog lika moga učiniti nevinog dječaka koji se našao u užasnoj situaciji, i za kojeg bismo svi mi svejedno navijali.",0,,,,,,
"Međutim, ako opetovana prebrojavanja glasačkih listića, dogovore po kojekakvim skrovitim zakutcima i Lawrenceove „detektivske” nasrtaje na (vjero)dostojnost kandidata držite makar i upola intrigantnima kao sam redatelj, Konklava bi vas mogla ugodno iznenaditi.",0,,,,,,
"Zanimalo me da bih znala oformiti mišljenje, ali ne dovoljno da bih ponovno pogledala prvih sat vremena filma.",1,,,,,,
"I dao nam je vrhunske verzije tog života, kao i njegove dramatične verzije te poneki urnebesni svijet.",1,,,,,,
Alice je svjesna da Frank taji nešto zlokobno.,1,,,,,,
"Ponajviše jer istovremeno djeluju kao prednost i mana za glavne likove, i to u smislu njihovih odluka koje kasnije imaju bitan utjecaj na samu radnju filma.",1,,,,,,
"Tada imamo uvid u intimniju zonu lika, a koja djeluje kao neka vrsta kombinacije između duhovitosti (posebno kroz scene joge) i sardonične prirode koja ga oblikuje.",0,,,,,,
"Da me krivo ne shvatite, ovo je svakako pozitivna stvar, jer to je samo još jedan dokaz kako Fincher i u ovom trenutku svoje karijere i dalje može filmofilima ponuditi nešto novo i drugačije.",0,,,,,,
"Ništa protiv starog dobrog ‘mindfucka’, posebice što to u ovom slučaju jako dobro funkcionira.",2,,,,,,
"Za razliku od ranijih Peeleovih filmova koji su bili jednostavni i komorni, “Nope” ima osobine epskog znanstveno-fantastičnog spektakla, a kritika ga s pravom uspoređuje s klasicima horora i SF-a iz radionice Stevena Spielberga sedamdesetih kao što su “Jaws” i “Close Encounters of the Third Kind”, što zbog tematike, a što zbog sporo tinjajuće atmosfere napetosti u strahu od nepoznatog.",1,,,,,,
"Nema nikakve sumnje kako je Cronenberg odgojio generacije filmofila, no nisu samo filmofili učili od Cronenberga već i brojni redatelji kojima je postao i ostao uzor i zahvaljujući kojem su bili inspirirani za stvaranje svojih filmova.",0,,,,,,
"Poveznica između horora i pornografije, jednako kao između seksa i nasilja, oduvijek me fascinirala kao filmofila, a upravo je to na jedan retro jedinstveni stil West uspio prikazat kroz „X“.",0,,,,,,
"Međutim, onda to sve upropasti činjenicom da svi vrište u stilu – ajme, izgledaš starije, što razotkrivanje čini dosta manje efektivnim.",0,,,,,,
"Glavni razlog zašto je tome tako svakako leži u izbjegavanju horor zamki, a u koje upadaju mnogi moderni hororci.",0,,,,,,
"Kada vidite tu izvedbu, pitat ćete se zašto je dovraga trebalo toliko dugo.",0,,,,,,
"U tom pogledu, pravo tajno oružje Saw X je Cecilia Pederson (Synnøve Macody Lund).",1,,,,,,
"Za razliku od Álvareza, Cronin ne zazire od humora, ali nikad ne prelazi u područje otkačenosti u kojem je volio obitavati Raimi.",1,,,,,,
Valjalo bi istaknuti i pojedine zanimljivosti u vezi samog filma.,1,,,,,,
"Šta se, zapravo, može reći o Feliksovoj porodici osim uobičajenog/stereotipnog?",1,,,,,,
"Ime je promijenjeno u Nosferatu zbog autorskih prava, što ipak nije pomoglo redatelju njemačkog originala da dobije parnicu.",1,,,,,,
"Kada je u pitanju tehnički dio filma, onda je dovoljno samo reći kako su na praktičnim efektima radili najbolji od najboljih – Alec Gillis i Tom Woodruff.",0,,,,,,
"Sve ga to odvodi i do kršenja određenih pravila u konklavi, pa tako skida pečat s papine sobe (inače, Lawrence je bio najbliži i najomiljeniji suradnik pape), sastaje se u tajnosti sa svojim suradnikom, dolazi u kontakt s časnom sestrom zbog jednog čudnog slučaja, iako to nije njegov posao, i slično.",1,,,,,,
Nekoliko nedosljednosti u mjestu Victory počne se slagati u zabrinjavajuću sliku.,1,,,,,,
"Mračna atmosfera je čak najcrnja kada se sve čini nekako mirnije, i kada ocean vremena postaje najtiši.",1,,,,,,
"U očima joj je oslikana i budućnost, posebice ona koja je namijenjena Paulu, a koju zamišljamo baš kroz njen pogled.",1,,,,,,
"Također, u filmu se može prepoznati i žrtva pojedinca za veći cilj.",1,,,,,,
"Također, s obzirom na vremenski odmak filma u kojem se odvija radnja, mislim kako se trebalo paziti na izgled glavnih likova.",1,,,,,,
"Ipak, Cristopher Walken je glumio Cristophera Walkena i nije baš nikakvu svoju vrijednost dao liku Cara.",2,,,,,,
"Bairdov protagonist u jednom momentu kaže: Ako želite da GameBoy kupuju djeca, instalirajte na njega Super Maria.",1,,,,,,
"U sporednim ulogama ugledat ćete i poznata lica poput Gillian Anderson (čuvena Dana Scully iz Dosjea X), Tobyja Jonesa (mlađim generacijama prepoznatljiv kao znanstvenik Arnim Zola iz Marvelovog filmskog univerzuma), te Roberta Duvalla (ikonu američke kinematografije s nebrojenim klasicima iza sebe).",1,,,,,,
"Naime, film nas vodi u životnu svakodnevicu i to tako što obrađuje naše stvarne strahove i tjeskobe s kojima se možemo povezati.",0,,,,,,
"Na isti smo taj način (do)živjeli i Paula, jer smo iznad njegovih ramena, metaforički rečeno, i otkrivali planet.",1,,,,,,
"Djeca će tako jedva i primijetiti tu prolaznost, dok će oni stariji itekako biti svjesni onoga što nas sve čeka – starenje.",2,,,,,,
"Pa ipak, krvi u filmu ne nedostaje, ali je korištena s namjerom ili bi bilo bolje reći s posvetom ne samo prema prethodnicima, već i nekim kultnim horor klasicima (Isijavanje).",0,,,,,,
"Ako vam radnja ovog filma zvuči poznato, niste u krivu.",1,,,,,,
"Film “Konklava” Edwarda Bergera vodi nas u takav svijet, u najviši red svećenstva, u trenutak kada aktualni papa umire i kada započinje postupak izbora novog pape.",1,,,,,,
"U ovom nastavku detaljnije upoznajemo Naftograd i Farmu metaka, a putovanje između njih uvijek prati i neka avanturistička akcijska scena.",1,,,,,,
No sve to nije moglo spasiti Saltburn od prosječnosti.,1,,,,,,
" Par ima kćer Joy (Stephanie Hsu) koja u filmu upoznaje svoju majku sa svojom curom Becky, što ne kulminira u dobrom pravcu.",0,,,,,,
"Spomenuo sam već kako su prilikom izgovaranja rečenica djelovali bez krvi ispod kože, ali za to ne treba bacati krivnju na glumce, već upravo na scenarij.",1,,,,,,
"Papirić po papirić, glas po glas, konklava konačno odabire papu, ozbiljnog, a opet drugačijeg od svih.",1,,,,,,
"Nije strašan, ali nije ni film koji se lako gleda.",1,,,,,,
"Lawrencea glumi Ralph Fiennes i smatra da on nije pravi kandidat za papu, pogotovo što se planira nakon konklave povući, no to ne znači da nema svojeg favorita, a to je Bellini kojega glumi Stanley Tucci.",1,,,,,,
Blijedoplavo oko temeljen je na istoimenoj knjizi iz 2003. godine koju je napisao američki autor Louis Bayard.,0,,,,,,
"Ona kao da odaje cijelu atmosferu filma, mračna je poput tajni kardinala, neizvjesna je kao i budućnost Crkve, surova je poput karaktera kandidata za papu, ekstravagantna je i drugačija, baš poput novog pape.",1,,,,,,
A da to ostvari Orlok neće prezati ni do čega.,1,,,,,,
"Nažalost, iako evociraju teme i poruke koje film želi poslati, ti tragovi nisu dostatni da se odgonetne zagonetka.",1,,,,,,
"Međutim, Cooper je u “Blijedoplavom oku” predstavio svojevrsnu light verziju slavnog pisca – nesretna ljubav, čašica- dvije više… i to je sve.",1,,,,,,
"Oliver želi da bude Feliksov prijatelj i, ako je verovati uvodnoj naraciji, više od toga.",1,,,,,,
"Iako dio kritike Peelea obasipa lovorikama kao i nakon svakog njegovog filma, kao i s “Get Out” i “Us”, čini se da je autor i s “Nope” potvrdio ono što se i prethodno dalo naslutiti.",0,,,,,,
"Umjetnost, filozofija, kultura, politika, moral, vrijednosti, znanost i tehnologija, zaštita ljudskih prava, medicina, filantropija, ekonomija i mnoge druge grane ljudske djelatnosti.",1,,,,,,
I hoće li mu se uopće itko oduprijeti.,1,,,,,,
I to kažem baš zbog toga što će vas možda mala Agnes iživcirati.,2,,,,,,
Ali trčim pred rudo.,1,,,,,,
"Priča zapravo ima smisla, likovi imaju dušu i okruženje je uzbudljivo.",0,,,,,,
Baš kao i zvijezda Elisabeth Sparkle.,1,,,,,,
"Kombinacija crne komedije i horora koju je prema scenariju Setha Reissa i Willa Tracya snimio Mark Mylod možda je i najbrutalnija satira od sva tri filma i vrhunska je to zafrkancija na račun ne samo kuhanja i uživanja u hrani koja se odavno pretvorila u puno više od pukog zadovoljavanja fizioloških potreba, već i elitizma i snobovštine onih koji su za ručak ili večeru koji nerijetko izgledaju kao da se ptica posrala nasred velikog tanjura, spremni platiti bogatstvo.",0,,,,,,
"Sama konklava odnosno izbor prvog čovjeka Katoličke crkve koja, prema novinskoj agenciji iz Vatikana okuplja nešto manje od milijardu i pol vjernika, događa se iza debelih zidova, daleko od očiju javnosti odnosno vjernika prilično je arhaičan običaj posebno u kontekstu želje nekih crkvenih krugova prema kojima bi se Katolička crkva trebala više otvoriti vjernicima.",1,,,,,,
"Njen lik je baš moćan, divlji, uz pristojno lice koje ipak ne može sakriti pravu emociju, ma koliko god se trudila biti „dobar gost“.",0,,,,,,
A riječ je o… jako dobrom filmu.,0,,,,,,
"Da je kojim slučajem taj film izašao danas, siguran sam kako bi mnogi tv urednici imali hrpu kritika na način na koji je prikazana televizija, odnosno konzumacija vijesti prema publici.",1,,,,,,
Napeto sam tražio trenutak koji će iskočiti i učiniti film posebnim.,1,,,,,,
"Kad shvata da je prevaren kao mađarska sobarica, počinje njegov obračun sa onima koji su odgovorni.",1,,,,,,
"Iako smo u tzv. WOKE (koliko god ta fraza bila isprazna) fazi društva i sve je svakome „dozvoljeno“ i dalje postoje određeni rodni stereotipi koji određuju što bi djevojčica, a što dječak trebali raditi, pogotovo u ranim fazama djetinjstva.",1,,,,,,
"Njeno buntovništvo savršeno odgovara razumijevanju mračne strane života koji osjeća, pogotovo kada mjesečari i kada je u najvećem doticaju s drugim svjetovima.",0,,,,,,
"Film koji je istovremeno privlačan i groteskan, odvratan i seksepilan, ali od kojeg nećete moći skrenuti pogled i o kojem ćete razmišljati dugo nakon izlaska iz kino dvorane.",1,,,,,,
"I ono najbitnije, dok su se u kinu vrtjele slike filma, imao sam dojam kao da gledam film koji je uistinu i napravljen u 70-ima, tako da je taj osjećaj vremena itekako utjecao na mene, ponajviše jer je disao taj sirovi realizam Derricksonove režije.",1,,,,,,
"On je lik koji tišinom pokreće ritam filma, te koji kroz suptilni pogled govori više i snažnije nego kroz same riječi.",0,,,,,,
"Mislim kako mi nikad nije trebalo duže vremena da započnem pisanje recenzije kao što je to slučaj s filmom „Dune: Part Two“, redatelja Denisa Villeneuvea.",1,,,,,,
"Ali ako mislite da Saw najsjajnije blista kada prikazuje čovjekovo zlo dok im drugi zli čovjek pomaže da se muče (često do smrti), dobro ćete se zabaviti, film definitivno pogledajte u Cineplexx kinu!",1,,,,,,
"Objektivno gledano te promene zapravo ne menjaju mnogo jer nam Oliver govori ko je on (na fundamentalnijem nivou od njegove najdublje želje i njegovog socioekonomskog porekla) od samog početka, a glumčeva prepoznatljiva ličnost na ekranu obavlja ostatak posla.",1,,,,,,
Ali time je ostavila mjesta da film ispadne površan.,1,,,,,,
"Izuzev već spomenutog kraja, koji je zaista toliko dobar da praktički izvlači čitav film, zapamtio sam jednu pametno osmišljenu scenu bijega, dok je ostatak filma već sada u pomalo blijedom sjećanju.",1,,,,,,
"Film se u suštini događa većinski samo na jednoj lokaciji, što je samo po sebi jako izazovan zadatak.",1,,,,,,
Najveći dio filma smješten je na plažu.,1,,,,,,
"„Doktor Strange” opravdao je vrlo visoka očekivanja što se tiče samog istraživanja paralelnih dimenzija, no na kraju je ostavio gorko razočaranje gledatelja zbog nedostatka kreativnosti i nedovoljnog putovanja kroz multiverzum, koji sam po sebi ostavlja beskonačno mnogo mogućnosti i prostora filmašima na pladnju.",0,,,,,,
To rezultira kobnim posljedicama za obje.,2,,,,,,
Njegova karizma u filmu naprosto je hipnotizirajuća.,0,,,,,,
"Na stranici Rotten Tomatoes kritičari su mu dali ocjenu 82 od 100, dok mu je publika dala 68 od 100.",1,,,,,,
"Prethodno je režirao filmove „Saw VI“ te „Saw 3D“, a što mu, ako ćemo realno, i nije bila baš neka preporuka.",2,,,,,,
"Kada su u pitanju djeca, moram naglasiti kako su mi ona izazvala još veću jezu nego odrasli likovi.",1,,,,,,
"Film počinje iznenadnom smrću popularnog pape, nakon čega se kardinali iz cijelog svijeta okupljaju na konklavi kako bi izabrali njegovog nasljednika.",0,,,,,,
U trenutku kada Otimač stupa na scenu i postaje jedan od dva glavna protagonista filma počinje drugi čin “Crnog telefona”.,1,,,,,,
"No, Blijedoplavo oko povezuje još toga s Harryjem Potterom: u sporednoj je ulozi u filmu i Timothy Spall (štakorski Petter Pettigrew u čarobnjačkom svijetu), Simon McBurney (zajedljivi vilenjak Kreacher), te gorenavedeni Toby Jones (dobrodušni vilenjak Dobby).",2,,,,,,
"U “Blijedoplavom oku” na sličan način nastoji ispričati priču (čak je i za nijansu ubrzao u odnosu na prethodne filmove), ali stvari, većinom, ne funkcioniraju…",2,,,,,,
"No, kada je riječ o „Pearl“, onda sasvim sigurno neću pretjerati ako kažem kako je ovo njen film od početka do samog kraja.",0,,,,,,
"Jer, ako postoji grad gdje se starenje doživljava i gleda kao zločin, onda je to svakako Los Angeles.",1,,,,,,
"Scenografija, kostimi, arhitektura razdoblja, svaki kadar je poput slike u muzeju.",0,,,,,,
Počevši sa časnom sestrom koju je netko pozvao da bude posluga samo zato da bi se otkrilo da je jednom davno imala aferu s jednim od kardinala i on bi ispao iz utrke.,1,,,,,,
"Još mnogo riječi, slika i simbola mogu se povezati s biblijskom pričom.",1,,,,,,
Komedija.,1,,,,,,
Ubrzo se između Landora i Poea ostvaruje dinamičan odnos.,1,,,,,,
"Film sve to krije previše dugo, ostavljajući nas sa gomilom nesimpatičnih likova na oba kraja socioekonomske podele i tek u trećem činu stižemo do prave, opipljive drame.",1,,,,,,
"Eggers tako režira svijet koji razumije, ali nas i vraća u vrijeme kada je vizualno pripovijedanje bilo snažno, sve do kraja nijeme ere.",0,,,,,,
"Redatelj je realizirao svoje ideje, ali skretanje pozornosti s istrage o ubojstvu na, većinom nezanimljive, ljubavne jade mladog pisca razbija i ono malo tenzije koje film nudi.",2,,,,,,
"Povijesni narativ filma također je jako važan, posebice kroz predstavljanje „prve montaže fotografija da bi se stvorio film“, u kojem se pamti kadar, ali ne i glumac u kadru.",1,,,,,,
Na kraju priče “Multiverzum ludila” režirao je Sam Raimi dok se Derrickson vratio (žanrovskim) korijenima i režirao kombinaciju trilera i horora pod naslovom “Crni telefon“.,1,,,,,,
Ili možda ne toliko neuvjerljv koliko jedan veći i bombastičniji od drugog.,1,,,,,,
"Različita značenja kroz različite poglede različitih likova, najbolje dolaze do izražaja kroz sporedne uloge.",1,,,,,,
"Srećom, kada je u pitanju film „Crni telefon“, kuglica je ipak donijela dobitak na tom filmskom ruletu.",1,,,,,,
"Oba su filma oštre kritike životnog stila najbogatijeg sloja društva i uključuju putovanje brodom na otok s kojeg nema izlaza, a sve je to popraćeno perverznim jelovnicima.",1,,,,,,
"Imala je Bezgrešna potencijala, no na kraju sve je ostalo na tome, a od punih kinodvorana najviše će profitirati sama Sweeney – ako ništa zbog toga što je dokazala da može iznijeti glavnu ulogu oslanjajući se primarno na svoje glumačko znanje i glumačku vještinu.",1,,,,,,
Upravo to je meni napravio Ti West s filmom „X“.,0,,,,,,
Većina ljudi se u životu suoči s situacijom ili situacijama gdje se dogodi nekakva scena koja ih stavi u neugodan položaj.,1,,,,,,
"Možda nije dubok onoliko koliko bi želio biti, ali neće vas zamoriti izvedbom.",1,,,,,,
Rado ću pričekati četiri ili pet godina za film s kojim on želi završiti trilogiju.,0,,,,,,
Zamislite sad situaciju u kojoj razgovarate s prijateljem na kavi o nekom filmu.,2,,,,,,
"Ipak, osjećaj izgubljenosti i potrebe za sanjarenjem i odlaskom izvan realnosti je prisutan podosta kod ovih generacija, barem nekako iz mojih iskustva koje sam dosad dobio pričajući s ljudima moje generacije ili starijih (pripadam Generaciji Z, iako sam vrlo blizu granici s milenijalcima).",1,,,,,,
"Istovremeno, svima onima koji sumnjaju u njega, odlučan je pokazati kako su u krivu.",1,,,,,,
"Glavnu ulogu u filmu tumači Sosie Bacon u ulozi Rose Cotter, doktorice koja je zadužena za rad na hitnim psihijatrijskim slučajevima.",1,,,,,,
"Iako je prikazano da je njegov lik sličan njegovim drugim filmovima, dobrodušni veliki tip koji se nikada nije bojao suočiti s mnogo ljudi sam i ponekad je pružao malo humora.",0,,,,,,
"Glumačka je postava snažna, a da stvar bude bolja, za glazbu je zaslužan Howard Shore, trostruki dobitnik Oskara.",0,,,,,,
"Naime, malo koja trilogija ima filmove koji se mogu gledati zasebno, bez razmišljanja o ostalim naslovima.",1,,,,,,
Zašto onda mislimo da nije izvrstan.,2,,,,,,
"Čovjek ima toliko cool glas da bih ga mogao slušati danima, a ovdje je, samo prividno, u ulozi snimatelja „stare škole“ u potrazi za savršenim kadrom.",1,,,,,,
I Furiosu i njezinu majku nakon duge danonoćne potjere ipak uhvati banda na čelu s Dementusom (Chris Hemsworth).,1,,,,,,
"“Meni” u kinu vam je poslužen, slobodni ste ga degustirati.",1,,,,,,
"No, kako god ga interpretirali, činjenica jest kako je riječ o filmu koji je erotskom fantazijom najbolje prikazao najmračnije želje ljudskog uma, i to kroz bezvremenske teme strasti i požude.",0,,,,,,
"Redatelj se tako poigrava s nama, posebice kod nepredvidljivog klimaksa, što je bio uistinu pun pogodak.",0,,,,,,
"Ovo „idiličnih“ sam namjerno stavio pod navodnike jer baš kao što to vrijeme nije bilo baš tako idilično kao što se misli, tako je i samo mjesto u kojem se odvija radnja filma daleko od idealne.",0,,,,,,
"Međutim, ubrzo se predomislio kada se saznalo da nešto nije u redu s mjestom koje kontrolira doktor Yang Gi-su (Lee Hee-joon – The Drug King, TV serija Miš itd.).",1,,,,,,
"Glavni lik filma, Elizabeth, u potrazi za savršenim idealom ljepote postaje tragična figura vlastite propasti.",1,,,,,,
Uopće nije bilo središnjih ili završnih odjavnih scena.,2,,,,,,
"S obzirom da je snimljen i prikvel, pretpostavljam da je ovo početak neke nove horor franšize.",1,,,,,,
"Dobivši odriješene ruke da snimi što god mu srce ište, dotični se još jednom odlučio za adaptaciju.",1,,,,,,
Tobin Bell je briljirao u svom povratku i serijal.,1,,,,,,
Čitava je radnja smještena u prostorije Katoličke crkve – od smrti Pape sve do izbora odnosno konklave.,1,,,,,,
Svo to vrijeme Waymond pokušava s njom razgovarati kako bi joj uručio papire za razvod.,1,,,,,,
"Premijerno je prikazan na filmskom festivalu u Adelejdu 30. oktobra prošle godine, u bioskope je pušten krajem jula i do sada je zaradio 15 puta više od uloženih 4,5 miliona dolara, a u pripremi je i nastavak.",0,,,,,,
"Istina, oni su u stalnom sukobu, ali među njima opet postoji neka poveznica.",1,,,,,,
"Naime, redatelj s jedne strane savršeno sakriva trenutak utjecaja vremena na lice i tijela glavnih likova, i taj dio mi je zbilja predobro snimljen.",1,,,,,,
"Karakteristika mlađih generacija današnjeg svijeta, koji su ili odrastali uz televiziju krajem prošlog stoljeća (uglavnom milenijalci) ili svjedočili rađanju interneta ovog stoljeća (Gen Z), je to da nas odlikuje svojevrsna ambicija, težnja za nezavisnošću, ali opet i stanje neznanja i nemogućnosti pronalaska odlika kako samog sebe, tako i svijeta oko nas.",1,,,,,,
Zanimljivo je kako se među tih 11 kriju čak četiri glumačke nominacije.,1,,,,,,
Loše?,1,,,,,,
"Svaki put kada se pojavi s drugačijom maskom, mi zapravo vidimo njegovu drugačiju sliku, u fizičkom i psihičkom smislu.",0,,,,,,
"Povratak horor korijenima, dakle, bilo je samo pitanje vremena za Westa, ali baš nitko nije mogao očekivati kako će on biti ovako brutalno moćan.",0,,,,,,
"Jer, ako mene pitate, upravo montaža najviše dolazi do izražaja kada je u pitanju kreativnost novih Jigsaw igrica u koje upadaju njegove žrtve.",0,,,,,,
