SentenceID,Sentence,Annotator1(Ivan Carević,Annotator2(Ema Grahovac,Annotator3(Nikolina Pastorčić),Annotator4(Ana Baletić),Annotator5(Marina Biloš),Annotator6(Josipa Bebić)
16,"Ali, treba reći da su na cijelom albumu stvarno vrhunska imena današnje pop scene (Billie Eilish, Dua Lipa, Charli XCX, Khalid…) koja ni malo ne ostaju dužna.",3,3,3,3,3,3
17,"Ponekad sam, zbog svega navedenog, imao osjećaj da gledam odlično produciranu predstavu ili mjuzikl.",3,3,3,3,3,3
18,"Prije posljednjeg akta filma, postoji jedna duža sekvenca pjevanja i plesanja.",2,2,2,2,2,2
19,Ona bi me u nekom drugom slučaju vjerojatno potpuno izbacila iz filma.,2,2,2,2,2,2
20,"Ovdje je, zbog već ranije navedenog dizajna i općenito načina snimanja, imala potpuno suprotan utjecaj.",3,3,3,3,3,3
21,Toliko sam uživao u svoj koreografiji glazbeno-scenskih točaka koje je zamislila Gerwig.,3,3,3,3,3,3
22,Scenarij je posljednja stvar koju bi naglasio u ovom dijelu recenzije.,2,2,2,2,2,2
23,"Da, radnja nije kompleksna i ne nudi mnogo kreativnih zapleta ali Gerwig i Baumbach su me iznenadili bavljenjem kompleksnijim temama u filmu.",3,3,3,3,3,3
24,"Očekivao sam puno jednostavniji scenarij za, budimo iskreni, mlade djevojke koje su sigurno ciljana publika.",4,4,4,4,4,4
25,"Naprotiv, argumentirao bi da je film više namijenjen malo starijoj generaciji.",2,2,2,2,2,2
26,Scenarij je sastavljen od raznih meta informacija i šala za koje vjerujem da većina ciljane publike nije shvatila.,2,2,2,2,2,2
27,"Osim toga, film se na pametan način bavi feminističkim temama.",2,2,2,2,2,2
28,"Najveća pohvala koju mogu dati filmu koji se odluči baviti tako zahtjevnom tematikom, je da u nijednom slučaju nisam osjetio da mi se poruke na silu nameću ili propovijedaju.",3,3,3,3,3,3
29,"Film ima puno toga za reći o ravnopravnosti žena u stvarnom svijetu, ali glavna poanta je da ni matrijarhat niti patrijarhat nisu idilična rješenja, nego treba tražiti ravnotežu.",2,2,2,2,2,2
30,"Kombinacija Gerwig i Baumbach je ponovno uspješno odradila zadatak pisanja scenarija, iako nije savršen, o čemu ću govoriti malo kasnije u recenziji.",4,4,4,4,4,4
31,Ispred kamere je glavna zvijezda naravno Margot Robbie.,2,2,2,2,2,2
32,"Ona je rođena za ovu ulogu, mislim da nema čovjeka koji se ne bi složio s tom tvrdnjom.",3,3,3,3,3,3
33,"Ono što je Gerwig dobila s Robbie u glavnoj ulozi je, osim njezine ljepote i gracioznosti, glumicu koja može odraditi i emocionalno zahtjevne trenutke u filmu.",3,3,3,3,3,3
34,Margot Robbie je apsolutno sve svoje zadatke odradila na najvišoj mogućoj razini.,3,3,3,3,3,3
35,I ne bi se uopće čudio da bude nagrađena nominacijom za nagradu Oscar.,3,3,3,3,3,3
36,"Osim nje, valja još jednom spomenuti Ryana Goslinga koji je također besprijekorno odradio sve glumačke zahtjeve.",3,3,3,3,3,3
37,"Jednostavno rečeno, Gosling i Robbie su baš odlično upareni i stvoreni za uloge Barbie i Kena.",3,3,3,3,3,3
38,"Osim ranije navedene jednostavne priče, jedna od glavnih zamjerki u filmu mi je dio radnje koji se bavi tvrtkom Mattel, a u filmu njegovog CEO-a glumi Will Ferell.",1,1,1,1,1,1
39,"On i njegova svita članova upravnog odbora su, usudio bi reći, potpuno nepotrebni u filmu.",1,1,1,1,1,1
40,"Iako su svi likovi u filmu na početku jednodimenzionalni (što i je cilj), ipak se kroz film razvijaju i dobivaju nove uloge u radnji.",2,2,2,2,2,2
41,Svi osim upravnog odbora Mattel koji služe samo kao „otirači“ za neke od najjednostavnijih šala koje su izgovorene u filmu.,1,1,1,1,1,1
42,Također se može reći da su i ostali likovi osim Barbie (Margot Robbie) i Kena (Ryan Gosling) prejednostavni.,1,1,1,1,1,1
43,Oni služe samo kako bi se ostvarili ciljevi radnje.,2,2,2,2,2,2
44,"Najviše potencijala je imao Allan (Michael Cera), ali je na kraju i on ostao nedorečen.",4,4,4,4,4,4
45,Baš kao i Gloria (America Ferrera) i Sasha (Ariana Greenblatt) koji su ključni likovi u filmu.,2,2,2,2,2,2
46,"Osim dviju glavnih uloga, sve ostale su klasično predvidljive i formulaične.",4,4,4,4,4,4
47,"Kao što sam ranije naveo, scenarij je uspješan.",3,3,3,3,3,3
48,"Posebice za očekivanja koje je publika i kritika imala za film poput Barbie, ali se svakako ne radi o remek-djelu.",4,4,4,4,4,4
49,Barbie je u najmanju ruku uspješan eksperiment Grete Gerwig koja je ranije ove godine izjavila kako želi raditi na visoko budžetnim studijskim filmovima.,3,3,3,3,3,3
50,"Eksperiment je itekako uspio jer je film, u trenutku pisanja ovih redaka, prešao zaradu od milijardu dolara na box officeu.",3,3,3,3,3,2
51,Tome je itekako pridonio besprijekoran marketing i činjenica da je film izašao u kina isti tjedan kao i Oppenheimer.,2,2,2,2,2,2
52,Internet je posljednjih nekoliko mjeseci „gorio“ od memova Barbenheimer što je itekako pridonijelo zaradi filma.,2,2,2,2,2,2
53,Nešto više o tome ću pisati u recenziji filma Oppenheimer.,2,2,2,2,2,2
54,"Bez obzira na memove, marketing, svjetski poznata glumačka imena, Barbie je uspješan film zbog svoje kvalitete i iznimnog talenta Grete Gerwig.",3,3,3,3,3,3
55,Dan koji su mnogi filmofili i obožavatelji Boba Dylana jedva čekali stigao je.,2,2,2,2,2,2
56,Od jučer se u domaćim kinima prikazuje biografski film A Complete Unknown.,2,2,2,2,2,2
57,"Film je jučer prikupio i osam nominacija za Oscare, među kojima je i onaj za najbolji film.",2,2,2,2,2,2
58,Priča o legendarnom Dylanu odmah je bila pod povećalom jer se loši biografski filmovi o ključnim povijesnim figurama ne opraštaju.,2,2,2,2,2,2
59,"No, A Complete Unknown s tim nema problema.",3,3,3,3,3,3
60,Pogledali smo ga.,2,2,2,2,2,2
61,A Complete Unknown temeljen je na knjizi Dylan Goes Electric! autora Elijaha Walda.,2,2,2,2,2,2
62,"Film počinje s godinom 1961. i još nepoznatim Dylanom koji dolazi u New York kako bi posjetio svog idola, poznatog folk pjevača Woodyja Guthrieja u bolnici.",2,2,2,2,2,2
63,Tamo upozna još jednu folk legendu – Petea Seegera koji postane jedan od njegovih najranijih pristaša.,2,2,2,2,2,2
64,"Upozna ga s Greenwich Village folk scenom i dovede ga na Newport Folk festival, a Dylan postepeno stvara veze s tom scenom te gradi bazu fanova.",2,2,2,2,2,2
65,Sve kulminira poznatim koncertom na spomenutom festivalu 1965. godine kada je kontroverzno odlučio koristiti električne gitare i drastično promijenio svoj zvuk.,2,2,2,2,2,2
66,"Kroz film se protežu i dvije značajne veze u njegovom životu – s djevojkom Sylvie (promijenjeno ime) te kolegicom, folk pjevačicom Joan Baez.",2,2,2,2,2,2
67,Naziv filma je stih iz njegove hit pjesme Like A Rolling Stone s albuma Highway 61 Revisited.,2,2,2,2,2,2
68,"U njemu je svoj prepoznatljiv folk zvuk zamijenio s rock glazbom i električnim gitarama, a danas se smatra jednim od njegovih najboljih radova.",2,2,2,2,2,2
69,"I zaista, ako išta iz filma možete izvući to je da je Bob Dylan potpuni neznanac.",2,2,2,2,2,2
70,"A Complete Unknown je manje o Dylanovom životu, a više o njegovom iskustvu prolaženja kroz život, rastu kao umjetnika i tekstopisca te izazovu da shvati zašto je toliko popularan.",2,2,2,2,2,2
71,"Ako niste upoznati s time tko je Dylan, nećete puno naučiti primjerice o tome odakle je potekao, a ako već znate dosta o njemu, nećete naučiti ništa novo.",4,4,4,4,4,4
72,I to je u redu.,3,3,3,3,3,3
73,Film funkcionira kao uvid u to što Dylana čini Dylanom.,2,2,2,2,2,2
74,"Ne ustručava se na dijelove prikazati ga i kao kompliciranog za shvatiti, jer nijedan jednostavan čovjek realno ne bi mogao napisati pjesme poput Blowin’ in the Wind ili The Times Are a-Changin’.",2,2,2,2,2,2
75,Ono što nam se svidjelo je što ga film nije pokušao objasniti.,3,3,3,3,3,3
76,"Znamo da umjetnici uz svoju nevjerojatnu kreativnost mogu biti i emocionalno nedostupni, udaljeni i skloni nesuglasicama.",2,2,2,2,2,2
77,"Tako Dylana u filmu vidimo u trzavicama i s Joan Baez, s Peteom Seegerom i cijelim odborom Newport Folk Festivala.",2,2,2,2,2,2
78,Ali uvijek je fokus na glazbenom talentu i činjenici da je Bob Dylan postao toliko velik i cijenjen pa čak i konzervativnijim publikama.,2,2,2,2,2,2
79,"Njegove pjesme znate čak i ako ne znate puno o njemu, a film to svakako oživljava.",3,3,3,3,3,3
80,Sve pjesme koje čujete izvela je sjajna glumačka postava.,3,3,3,3,3,3
81,I tako dolazimo do Timothéeja Chalameta kojemu je povjerena glavna uloga.,2,2,2,2,2,2
82,Jučer je s 29 godina postao najmlađi glumac koji je dva puta nominiran za Oscara.,2,2,2,2,2,2
83,To je prije jedino pošlo za rukom James Deanu u 1950-ima.,2,2,2,2,2,2
84,"Kada je još davno izašla vijest da će Chalamet utjeloviti Dylana, neki su bili oduševljeni, dok su neki negodovali.",4,4,4,4,4,4
85,Sada kada smo pogledali film možemo reći da je Mangold napravio dobar izbor.,3,3,3,3,3,3
86,Chalamet apsolutno zaslužuje svoju nominaciju za najboljeg glumca na Oscarima za ulogu u ovom filmu.,3,3,3,3,3,3
87,Vjerujemo kako ima i velike šanse te kako će borba za ovaj kipić biti između njega i Adriena Brodyja.,2,2,2,2,2,2
88,"Iako se u prvih 15-ak minuta filma teško naviknuti da gledate Boba Dylana, Chalamet je sjajno skinuo njegov prepoznatljiv nazalni glas.",4,4,4,4,4,4
89,"Glumac je godinama vježbao i sviranje gitare i harmonike, a najviše sjaji upravo kada pjeva.",3,3,3,3,3,3
90,Zato ga jedva čekamo ovaj vikend vidjeti u Saturday Night Live emisiji koju će voditi i po prvi put biti i glazbeni gost.,3,3,3,3,3,3
91,"S obzirom na to da nema glazbenu karijeru, vjerujemo kako će izvesti soundtrack iz ovog filma.",2,2,2,2,2,2
92,"Osim toga, Chalamet vas stvarno privuče u svijet Boba Dylana i izvan pozornice.",3,3,3,3,3,3
93,"Da je riječ o vodećem glumcu generacije, nije pretjerivanje.",3,3,3,3,3,3
94,"Za one hejtere koji misle kako ‘iskače iz paštete’ te da je precijenjen, skrenuli bismo im pažnju na činjenicu kako je Chalamet u dvije godine utjelovio Willyja Wonku, Paula Atreidesa i sada, Boba Dylana.",2,2,2,2,2,2
95,"Ako to nije glumački raspon, ne znamo što je.",3,3,3,3,3,3
96,"Osim što je Chalamet dobio nominaciju za svoju izvedbu, pokupili su je i Edward Norton koji je sjajan u ulozi Petea Seegera te Monica Barbaro u ulozi Joan Baez.",3,3,3,3,3,3
97,"Glumici je to prva nominacija, a kao Baez je oduševila i kritike i publiku.",3,3,3,3,3,3
98,Tu je i Elle Fanning kao Dylanova djevojka Sylvie koja s Chalametom ima zaraznu kemiju i koja se čini jedina koja stvarno ‘vidi’ Dylana.,3,3,3,3,3,3
99,U manjoj ulozi se pojavljuje i Boyd Holbrook kao Johnny Cash koji je s Dylanom imao prijateljstvo.,2,2,2,2,2,2
100,Ukrade svaku scenu u kojoj se pojavi.,3,3,3,3,3,3
101,Još jedna nominirana uloga je i ona redateljska za Jamesa Mangolda.,2,2,2,2,2,2
102,"Možda niste upoznati s tim imenom, ali s njegovim filmovima jeste.",2,2,2,2,2,2
103,"Režirao je filmove Girl, Interrupted, Walk the Line (biopic o Johnnyju Cashu), The Wolverine i Logan (X-men franšiza), Ford v Ferrari te posljednji nastavak Indiane Jones.",2,2,2,2,2,2
104,"Uz te filmove i A Complete Unknown, možemo reći kako je Mangold odličan redatelj u čijim filmovima uživamo.",3,3,3,3,3,3
105,A Complete Unknown njegov je trijumf.,3,3,3,3,3,3
106,"Iako sumnjamo da će osvojiti Oscar, film je vrijedan gledanja, bili fanovi Boba Dylana ili ne, a iz kina ćete izaći pjevajući: How does it feeeel?",4,4,4,4,4,4
107,"Znate, kad sam pročitao kratki sinopsis i vidio poster (namjerno nisam gledao trailer jer sam se brinuo da bi mogao otkriti previše), mislio sam da će ovo biti film u kojem lik Millie Bobby Brown kreće na putovanje, zarobljen u obilju opasnih situacija i borbe protiv mnogih neprijatelja.",2,2,2,2,2,2
108,Ispostavilo se da je drugačije od mojih očekivanja.,2,2,2,2,2,2
109,"Da, postojala je opasnost u kojoj je bila, ali nije bila onakva kakvu sam zamišljao.",2,2,2,2,2,2
110,Zapravo mi se sviđa ova priča jer je bila jedinstvena za bajku.,3,3,3,3,3,3
111,"Za razliku od drugih tipova sličnih priča u kojima je ženski lik obično bio taj koji se spašavao (otuda i izraz “djevojka u nevolji”), ova je bila suprotnost jer se morala spašavati sama.",2,2,2,2,2,2
112,"Ali bio sam pomalo nesretan što je gotovo cijeli napeti dio filma snimljen u mraku, što baš i nije bilo ugodno gledati.",1,1,1,1,1,1
113,"Osim toga, bilo je toliko vrištanja uključeno što je bilo razumljivo, iako za mene osobno malo previše.",1,1,1,1,1,1
114,"Film je režirao Juan Carlos Fresnadillo (28 Weeks Later, Intruders itd.), a scenarij je napisao Dan Mazeau (Wrath of the Titans, Fast X).",2,2,2,2,2,2
115,"Koliko sam pročitao, Mazeauov scenarij iskoristila je Evelyn Skye za pisanje vlastitog romana koji je objavljen prije nego što je film objavljen.",2,2,2,2,2,2
116,Znači li to da je film temeljen na romanu ili obrnuto?,2,2,2,2,2,2
117,"Uglavnom, kao što rekoh, mislim da je ova bajka s pomakom pametna i zanimljiva.",3,3,3,3,3,3
118,Glumačka postava bila je prilično pristojna s Millie Bobby Brown koja je očito bila zvijezda filma.,3,3,3,3,3,3
119,"Mislim da je Robin Wright bila prilično uvjerljiva u svojoj ulozi zbog koje sam bio zadovoljan završetkom, ali smatrao sam da Angela Basset nije imala dovoljno vremena na ekranu da pokaže svoje sposobnosti.",4,4,4,4,4,4
120,Akcija nije bila loša i bilo je tu i tamo neizvjesnosti.,3,3,3,3,3,3
121,To jednostavno nije dovoljno da zadovolji moj apetit za još avanture.,1,1,1,1,1,1
122,Ali zmaj mi se dopao i mislim da je karakterizacija glasa prilično briljantna.,3,3,3,3,3,3
123,To je vjerojatno slično mom osjećaju kada čujem Seana Conneryja kako daje glas Dracu u popularnom filmu Dragonheart iz 1996.,2,2,2,2,2,2
124,"Sve u svemu, ovo je još uvijek bio dovoljno dobar film mračne fantazije s jedinstvenom pričom i nekim zabavnim trenucima.",3,3,3,3,3,3
125,"Intenzitet je bio OK, ali je bilo previše mračnih scena i glasnog vrištanja.",4,4,4,4,4,4
126,"Trajao je 110 minuta, što je uključivalo duge odjavne špice bez odjavnih scena na sredini/na kraju.",2,2,2,2,2,2
127,"Dakle, ako ste zainteresirani za gledanje različitih vrsta bajki, onda bi se ovo trebalo uklopiti u kategoriju.",2,2,2,2,2,2
128,"Ali ako ste poput mene i očekujete zabavnu avanturističku vrstu filma, onda vas ovo ne bi baš zadovoljilo.",1,1,1,1,1,1
129,"Iskreno, nisam znao da će biti još jedan nastavak ove franšize.",2,2,2,2,2,2
130,"Ispostavilo se Kung Fu Panda 4 bio OK, ali činilo se da je malo ispod očekivanja.",4,4,4,4,4,4
131,"Osim toga, ni borbe nisu bile tako intenzivne kao prije.",1,1,1,1,1,1
132,"Čak je i zaplet bio prilično predvidljiv, s obratom koji je bio nagoviješten.",1,1,1,1,1,1
133,"Kung Fu Panda 4 – iako je još uvijek imao nešto od šarma, ali ovaj najnoviji dio nije bio najbolji u seriji",4,4,4,4,4,4
134,Vidio sam trailer za ovaj film prije nekoliko tjedana u kinu i mislio sam da izgleda smiješno te sam jedva čekao da ga vidim.,3,3,3,3,3,3
135,"Iskreno, nisam znao da će biti još jedan nastavak ove franšize jer sam mislio da su prethodno zatvorili poglavlje.",2,2,2,2,2,2
136,"Kao što sam napisao u jednom od svojih najranijih postova o Kung Fu Panda 3 (mogli ste vidjeti na vrlo dugom i detaljnom zapletu), činilo se da je taj film napravio puni krug.",2,2,2,2,2,2
137,Ali pretpostavljam da je DreamWorks mislio zaraditi više novca od ovog popularnog intelektualnog vlasništva i došao na ideju za novi film.,5,5,5,5,5,5
138,"U svakom slučaju, nije mi smetao još jedan sve dok je mogao pružiti istu kvalitetu i urnebes kao i njegovi prethodnici.",3,3,3,3,3,3
139,"Ispostavilo se Kung Fu Panda 4 bio OK, ali činilo se da je malo ispod očekivanja.",4,4,4,4,4,4
140,"Još uvijek je bilo zaštitni znak ludih ponašanja Poa i nekih urnebesnih trenutaka, ali smatram da nema dovoljno onih koji su nas neprestano tjerali da se glasno smijemo.",4,4,4,4,4,4
141,A neke od najsmješnijih scena već su prikazane u traileru.,2,2,2,2,2,2
142,"Osim toga, ni borbe nisu bile tako intenzivne kao prije.",1,1,1,1,1,1
143,"Smatram da vrhunac nije bio previše zadovoljavajući i pomalo pojednostavljen, za razliku od vremena kada se Po morao boriti protiv svih svojih prethodnih neprijatelja.",1,1,1,1,1,1
144,"Čak je i zaplet bio prilično predvidljiv, s obratom koji je bio nagoviješten tako jasno da nije postao iznenađenje kada se dogodio.",1,1,1,1,1,1
145,"A bez omiljene Bjesne petorke, film je također pomalo nedostajao u smislu pružanja uzbuđenja za nas.",1,1,1,1,1,1
146,"Scenaristi su pokušali posvetiti više vremena Poovoj dvojici očeva i predstavili su nam nove likove, uključujući Zhena koji ih pokriva.",2,2,2,2,2,2
147,No preuzeti ne jednog ili dvojicu nego svih petero činilo se prevelikim izazovom.,2,2,2,2,2,2
148,Za mene je potpuna razlika između Furious Five i Po bila jedan od najboljih dijelova koji je filmove učinio tako zanimljivima.,3,3,3,3,3,3
149,"Ali hej, barem smo ih mogli nakratko vidjeti (shvatili biste da ste vidjeli ovaj film).",5,5,5,5,5,5
150,"Oh osim onih imena koja sam gore spomenuo, također smo dobili pomoćne likove poput Hana, vođe lopova (Ke Huy Quan – Sve posvuda i odjednom, Loki sezona 2 itd.), Bake vepra, vlasnice restorana (Lori Tan Chinn – Awkwafina je Nora iz Queens sitcoma itd.), Captain Fish (Ronny Chieng – M3GAN itd.) i naravno Tai Lung (Ian McShane – John Wick filmovi itd.) s nekoliko drugih.",2,2,2,2,2,2
151,"Nakon što sam pročitao više o filmu, otkrio sam da se redatelj Mike Mitchell (Lego film 2: Drugi dio, Trolovi itd.) želio više usredotočiti na Poa, što vjerojatno objašnjava potpuno izostavljanje Bjesne petorke (ili to ili su možda bili samo sukob rasporeda).",2,2,2,2,2,2
152,"A hoće li to imati ikakvog utjecaja ili ne, vidjet ćemo u sljedećih nekoliko tjedana kada film stigne na američko i druga tržišta.",2,2,2,2,2,2
153,"Usput, za ovaj 94-minutni film nije bilo scene na sredini ili na kraju odjavne špice, ali mogli smo poslušati obradu pjesme Baby One More Time koju je otpjevao Tenacious D tijekom odjavne špice.",2,2,2,2,2,2
154,"Dakle, ako ste još uvijek zainteresirani za saznanje što se sprema za našeg omiljenog Poa Dragon Warrior-a, onda možete ovo isprobati.",2,2,2,2,2,2
155,"Možda nam baš i ne pruža najbolje vrijeme kao prije, ali neke od njegovih zajedničkih osobina još uvijek su dostupne ovdje.",4,4,4,4,4,4
156,"Osim toga, animacija je još uvijek bila vrlo dobra (ljupki krajolik Doline mira s padom latica cvijeća bio je vrlo lijep).",3,3,3,3,3,3
157,I mislim da je još uvijek zabavno za sve uzraste prema klasifikaciji.,3,3,3,3,3,3
